date,turkey_total_generation_in_gwh,population,imports_in_gwh,exports_in_gwh,gross_demand_in_gwh,natural_gas_price_usd_Mmbtu,pib_m_dollar,ratio_dollar_tl,coal_elect_prod_gwh,ng_elect_prod_gwh,thermique_elect_prod_gwh,hidro_elect_prod_gwh,geothermal_elect_prod_gwh,wind_elect_prod_gwh,solar_elect_prod_gwh,geothermal_solar_wind_elect_prod_gwh,roll_mean,roll_std
2014-08-01,23935.1,,588.6,215.4,24308.299999999996,4065,254.79369419551193,2.1639,7192.0,11319.5,18824.8,4033.9,179.6,894.9,1.9,1076.3999999999999,21215.436666666665,1546.3384026320086
2014-09-01,21308.5,,533.2,195.5,21646.2,4121,242.0103919189133,2.2782,6228.8,10970.7,17422.5,2989.74,188.7,705.6,2.0,896.3,21317.630666666668,1529.4115789730042
2014-10-01,19227.6,,645.3,291.4,19581.499999999996,3873,251.50589456378069,2.224,5978.3,9169.2,15367.800000000001,2795.35,199.75,863.0,1.74,1064.49,21356.037,1474.008400060715
2014-11-01,20756.8,,795.6,263.6,21288.8,4088,252.00446454759788,2.2196,6494.5,10340.24,17241.14,2550.6,246.3,717.0,1.8,965.0999999999999,21441.918583333332,1433.7021843017592
2014-12-01,21973.2,,871.5,338.0,22506.7,2889,239.60124630963728,2.3345,7336.08,10633.95,18333.62,2562.74,259.84,814.94,2.02,1076.8,21435.016666666666,1427.862783599376
2015-01-01,22333.5,,791.6228431000001,343.55309,22781.5697531,2691,204.57513514062313,2.4464,6838.639999999999,8723.85,16196.39,4859.4,264.9,1010.34,2.5,1277.74,21496.889146091667,1471.8282852264642
2015-02-01,20094.85,,629.1379215,227.771539,20496.2163825,2734,199.48685052934485,2.5088,6237.34,7843.74,14999.48,3804.6,234.1,1053.2,3.5,1290.8,21559.132177966665,1405.5038349021875
2015-03-01,21318.3,,671.9177976,290.200349,21700.0174486,2640,192.6524792547619,2.5978,6401.9,7925.05,14610.0,5635.71,268.81,798.0,5.74,1072.55,21613.925298683334,1396.318658225938
2015-04-01,20432.0,,415.1109726,282.221605,20564.8893676,2751,211.85444529822036,2.6723,4266.7,6889.1,11408.3,7883.8,264.1,867.6,8.2,1139.9,21634.49941265,1377.1755755022323
2015-05-01,21128.15,,428.5652053,181.614187,21375.101018300003,2642,212.59430498326483,2.663,5842.4,6931.7,13009.8,7111.9,259.6,734.5,12.4,1006.5,21695.691164175,1344.9452189652725
2015-06-01,20766.5,,551.2203096000001,224.478935,21093.241374600002,2832,211.1197173964925,2.6816,5914.700000000001,7119.2,13217.5,6351.94,245.44,936.8,14.8,1197.04,21726.661278725,1324.6006753009572
2015-07-01,23388.04,,650.5990536,282.560297,23756.0787566,2716,228.98062697299758,2.771,6823.7,8134.400000000001,15138.900000000001,6697.15,256.45,1272.8,22.7,1551.95,21758.217841775,1371.1933625533775
2015-08-01,24815.6,,599.8825074,272.513463,25142.9690444,2689,217.6839979903171,2.9148,6921.6,10069.35,17184.5,6178.4,261.1,1166.45,25.15,1452.7000000000003,21827.773595475,1524.8680797819102
2015-09-01,21547.1,,527.1013561,279.660847,21794.5405091,2524,209.70529706916625,3.0257,6107.7,9056.64,15362.15,5138.2,257.7,761.1,27.9,1046.7,21840.135304566666,1523.8632422936764
2015-10-01,21053.85,,502.44198229999995,297.681943,21258.610039299998,2321,222.91680599777087,2.9151,6178.88,8660.25,15046.73,4629.2,357.5,995.9,24.6,1378.0,21979.89447450833,1366.684697343002
2015-11-01,21245.05,,592.7852287999999,268.627945,21569.2072838,2235,223.0698503875946,2.9131,6761.6,8332.25,15303.1,4554.64,363.54,998.14,25.63,1387.31,22003.261748158333,1356.1508941133493
2015-12-01,23660.4,,775.121041,243.571362,24191.949679,2337,222.71816196459602,2.9177,7870.4,9533.2,17889.56,4300.9,391.25,1057.64,21.0,1469.89,22143.699221408333,1493.3437253398004
2016-01-01,23443.088086715903,,706.350773724623,188.901007,23960.537853440524,2298,192.1773314450035,2.9553,7714.4,7904.1,16214.6,5542.4,396.8,1268.5,20.8,1686.1,22241.946563103378,1575.639080153354
2016-02-01,20929.19977591549,,591.2664288915861,114.45992,21406.006284807077,1711,191.5227853306194,2.9654,7013.9,7001.0,14255.8,5108.0,380.7,1146.1,38.6,1565.3999999999999,22317.762388295636,1504.2748006079569
2016-03-01,22038.774927398103,,444.60494909102,60.443834,22422.93604248912,1959,201.6122355766485,2.817,6850.4,6380.2,13530.1,6772.7,418.9,1258.2,58.8,1735.9,22378.00560445306,1491.7095494488613
2016-04-01,21330.8377171174,,393.793970057383,107.99268,21616.639007174785,2178,227.3563357985488,2.7955,5884.9,6857.2,13040.1,6998.5,386.8,827.8,77.7,1292.3,22465.65140775096,1403.8025743143733
2016-05-01,21923.77966831914,,395.14198177288,58.94878,22259.97287009202,2288,215.49285845420872,2.9494,7382.2,6149.7,13824.1,6683.6,397.6,935.6,83.0,1416.2,22539.39072873363,1363.9858704807477
2016-06-01,22975.93995384508,,505.122176,69.300136,23411.76199384508,2924,220.86202061536753,2.8777,7361.6,7371.7,15002.4,6388.0,360.8,1124.3,100.5,1585.6,22732.600780337383,1303.37862303479
2016-07-01,24269.893486055797,,647.673994,168.047606,24749.519874055797,2876,224.36960415618407,2.9883,7587.0,7925.5,15785.3,6173.7,380.7,1802.7,127.5,2310.9,22815.387540125364,1402.1076951368511
2016-08-01,26146.37182367881,,665.632926,122.911496,26689.09325367881,2887,226.66791348881844,2.958,8458.9,9552.3,18287.8,5616.1,388.0,1728.0,126.5,2242.5,22944.231224231935,1679.1155094098337
2016-09-01,21264.533219035275,,476.68486,99.335274,21641.882805035275,2906,223.55417714721423,2.9992,8089.8,6891.4,15242.6,4175.9,394.1,1329.4,122.5,1846.0,22931.509748893208,1689.1659713558759
2016-10-01,22127.152915353214,,430.05439,192.47069,22364.736615353217,3026,243.23983231168555,3.0939,8318.2,7866.9,16467.6,4006.1,406.5,1124.7,122.3,1653.5,23023.68696356431,1618.2700400103045
2016-11-01,22892.854989594212,,422.421637,132.75983,23182.516796594213,3352,218.95831166398716,3.437,8374.1,8519.4,17270.7,3738.6,437.4,1345.8,100.3,1883.5,23158.129422963826,1552.1128012160132
2016-12-01,25065.322474080604,,651.58496112625,136.12532,25580.782115206854,3724,213.32871763163644,3.5277,9236.7,6807.8,16877.1,6027.2,470.3,1626.0,64.7,2161.0,23273.8654593144,1682.5121749878235
2017-01-01,25479.29412893061,,340.2583205,233.560562,25585.991887430613,3117,173.43869811188665,3.7734,9076.31777583,7758.844259183472,17564.386575420474,5646.677293831,514.3194781999999,1676.516066285,77.39471519413806,2268.2302596791383,23409.319962146907,1803.873458157401
2017-02-01,22916.21555257425,,179.461926,211.859823,22883.81765557425,2774,179.44000423760502,3.6472,7789.92393341,8199.539989443014,16481.387210533423,4274.2343107264005,448.865343,1579.49528382,132.23340449442688,2160.594031314427,23532.47090971084,1702.2564462623184
